"2026.01.01", "New Year's Day",
"2026.01.19", "Martin Luther King Jr. Day",
"2026.02.02", "Groundhog Day",
"2026.02.14", "Valentine's Day",
"2026.03.08", "Daylight Saving Time starts",
"2026.03.17", "St. Patrick's Day",
"2026.03.20", "Vernal Equinox",
"2026.04.12", "Easter",
"2026.04.22", "Earth Day",
"2026.05.01", "May Day",
"2026.05.10", "Mother's Day",
"2026.05.25", "Memorial Day",
"2026.06.15", "Juneteenth",
"2026.06.21", "Summer Solstice",
"2026.06.21", "Father's Day",
"2026.07.04", "Independence Day",
"2026.09.07", "Labor Day",
"2026.09.12", "Rosh Hashana",
"2026.09.21", "Yom Kippur",
"2026.09.22", "Autumnul Equinox",
"2026.10.12", "Indigenous People's Day",
"2026.10.31", "Halloween",
"2026.11.01", "Daylight Saving Time ends",
"2026.11.11", "Veteran's Day",
"2026.11.26", "Thanksgiving",
"2026.12.21", "Winter Solstice",
"2026.12.25", "Christmas Day",
"2026.12.31", "New Year's Eve",
